portNo,portName
10001,Keflavik
10002,Straumsvik
10003,Hafnarfjordur
10004,Skerjafjordur
10005,Reykjavik
10006,Grundartangi
10007,Bildudalur
10008,Thingeyri
10009,Bolungavik
10010,Isafjordur
10011,Blonduos
10012,Skagastrond
10013,Saudarkrokur
10014,Siglufjorhurd
10015,Olafsfjordhur
10016,Dalvik
10017,Akureyri
10018,Husavik
10019,Kopasker
10020,Raufarhofn
10021,Vopnafjordhur
10022,Seydhisfjordhur
10023,Neskaupstadur
10024,Eskifjordhur
10025,Budir
10026,Djupivogur
10027,Hornabjordur
10028,Vestmannaeyjar
10029,Qutdleq
10030,Kusanartoq
10031,Nanortalik Havn
10032,Qaqurtoq
10033,Narsaq
10034,Narsarssuaq
10035,Gronnedal (Kangilinnguit)
10036,Paamuit (Frederikshab)
10037,Kangerluarsoruseq
10038,Nuuk
10039,Maniitsoq
10040,Kangamiut
10041,Sisimiut
10042,Kangerlusuaq
10043,Attu
10044,Aasiaat
10045,Qasigiannguit-Christianshab
10046,Illulissat (Jakobshavn)
10047,Qeqertarsuaq
10048,Niaqornat
10049,Uummannaq Harbor
10050,Kajalleq Upernavik
10051,Upernavik
10052,Pituffik (Thule Air Base)
10053,Pond Inlet
10054,Padloping Island
10055,Pangnirtung
10056,Churchill
10057,Goose Bay
10058,Conche
10059,Roddickton
10060,Westport Cove
10061,Seal Cove
10062,Little Bay
10063,Springdale
10064,Fortune Harbor
10065,Twillingate Harbor
10066,Bonavista Harbor
10067,Catalina Harbor
10068,Port Union
10069,Clarenville
10070,Carbonear Bay
10071,Harbor Grace
10072,St John'S
10073,Trepassey Harbor
10074,Argentia
10075,Come By Chance Harbor
10076,Port De St Pierre
10077,Grand Bank
10078,Burgeo
10079,Port Aux Basques
10080,Stephenville
10081,St George'S
10082,Corner Brook
10083,Blanc Sablon
10084,Havre St Pierre
10085,Mingan
10086,Sept Iles
10087,Pointe Noire
10088,Port Cartier
10089,Matane
10090,Baie Comeau
10091,Rimouski
10092,Tadoussac
10093,La Baie (Port Alfred)
10094,Chicoutimi (Port Saguenay)
10095,Riviere Du Loup
10096,Quebec
10097,Port De Becancour
10098,Trois Rivieres
10099,Sorel
10100,Montreal
10101,Vaudreuil
10102,Oka Sur Le Lac
10103,Hudson
10104,St Placide
10105,St Andrews East
10106,Carillon
10107,Chute A Blondeau
10108,Grenville
10109,Hawkesbury
10110,Fassett
10111,Montebello
10112,Papineauville
10113,Thurso
10114,Rockland
10115,Cumberland
10116,Masson
10117,Gatineau
10118,Ottawa
10119,Hull
10120,Beauharnois
10121,Coteau Landing
10122,St Zotique
10123,St Anicet
10124,South Lancaster
10125,Cornwall
10126,Cardinal
10127,Lower Lakes Terminal
10128,Brockville
10129,Rockport
10130,Gananoque
10131,Wolfe Island
10132,Kingston
10133,Ogdensburg
10134,Alexandria Bay
10135,Clayton
10136,Millhaven
10137,Picton
10138,Belleville
10139,Trenton
10140,Cobourg
10141,Port Hope
10142,Contrecour
10143,Oshawa
10144,Port Whitby
10145,Toronto
10146,Port Credit
10147,Clarkson
10148,Oakville
10149,Bronte
10150,Hamilton
10151,Port Dalhousie
10152,Port Weller
10153,Welland
10154,Thorold
10155,St Catherine
10156,Niagara
10157,Queenston
10158,Chaumont
10159,Sackets Harbor
10160,Oswego
10161,Sodus Bay
10162,Rochester
10163,Youngstown
10164,Port Colborne
10165,Port Maitland
10166,Port Dover
10167,Port Stanley
10168,Rondeau
10169,Pelee I North Wharf
10170,Pelee I West Dock
10171,Leamington
10172,Kingsville
10173,Amherstburg
10174,Windsor
10175,Tonawanda
10176,Buffalo
10177,Dunkirk
10178,Erie
10179,Conneaut
10180,Ashtabula
10181,Fairport
10182,Cleveland
10183,Lorain
10184,Vermilion
10185,Huron
10186,Sandusky
10187,Port Clinton
10188,Put In Bay
10189,Toledo
10190,Monroe
10191,Trenton
10192,Wyandotte
10193,Rouge River
10194,Detroit
10195,Walpole Island
10196,Sombra
10197,Courtright
10198,Sarnia
10199,Point Edward
10200,Goderich
10201,Port Elgin
10202,Southampton
10203,Tobermory
10204,Lions Head
10205,Wiarton
10206,Owen Sound
10207,Meaford
10208,Thornbury
10209,Collingwood
10210,Penetanguishene
10211,Midland
10212,Tiffin
10213,Port Mcnicoll
10214,Victoria Harbour
10215,Waubaushene
10216,Port Severn
10217,Depot Harbour
10218,Parry Sound
10219,Byng Inlet
