from,to,distance
10038,10041,5444
10038,10040,3796
10038,10184,2608
10038,10157,4691
10038,10191,1649
10038,10186,2140
10038,10003,3304
10038,10004,402
10038,10005,3593
10038,10008,3355
10038,10013,3446
10038,10019,3058
10038,10025,643
10038,10028,1326
10038,10032,2128
10038,10037,3414
10038,10043,288
10038,10047,367
10038,10049,1258
10038,10057,1579
10038,10068,3693
10038,10086,522
10038,10087,2578
10038,10099,769
10038,10103,1523
10038,10108,3696
10038,10114,3831
10038,10117,3703
10038,10119,824
10038,10145,1294
10038,10148,1124
10038,10151,775
10038,10155,3212
10038,10159,1444
10038,10169,787
10038,10175,1120
10038,10191,1650
10038,10226,458
10038,10242,4148
10038,10245,3776
10032,10041,4554
10032,10040,4059
10032,10157,3046
10032,10191,2441
10032,10186,2664
10032,10216,4849
10032,10001,1357
10032,10002,1373
10032,10003,1657
10032,10005,1594
10032,10007,2353
10032,10028,2109
10032,10030,204
10032,10038,2128
10032,10048,392
10032,10049,895
10032,10052,3624
10032,10053,2500
10032,10055,1603
10032,10059,3826
10032,10065,1146
10032,10068,3984
10032,10069,944
10032,10087,504
10032,10099,1482
10032,10103,2327
10032,10107,235
10032,10108,2050
10032,10111,1517
10032,10110,1514
10032,10112,1495
10032,10117,2400
10032,10133,341
10032,10145,2154
10032,10152,4193
10032,10155,2517
10032,10157,3046
10032,10158,2310
10032,10160,1752
10032,10169,2139
10032,10170,1491
10032,10175,1843
10032,10207,2621
10032,10217,1218
10032,10234,4844
10032,10242,2503
10032,10245,2517
10188,10184,2577
10188,10142,8648
10188,10142,8566
10188,10164,9827
10188,10191,2207
10188,10186,2535
10188,10187,2553
10188,10010,1597
10188,10011,4715
10188,10012,1687
10188,10014,5148
10188,10015,5533
10188,10034,4243
10188,10036,491
10188,10042,1322
10188,10045,447
10188,10046,527
10188,10050,720
10188,10051,560
10188,10060,3375
10188,10060,3377
10188,10070,8872
10188,10071,457
10188,10072,1285
10188,10073,1166
10188,10074,592
10188,10075,966
10188,10076,1679
10188,10077,831
10188,10078,4336
10188,10080,533
10188,10081,1343
10188,10082,503
10188,10084,2522
10188,10085,3138
10188,10088,789
10188,10088,826
10188,10089,3967
10188,10094,4528
10188,10095,414
10188,10096,440
10188,10097,5810
10188,10097,5699
10188,10100,800
10188,10105,1156
10188,10105,1166
10188,10109,3184
10188,10113,490
10188,10116,369
10188,10121,463
10188,10122,479
10188,10124,515
10188,10125,991
10188,10126,561
10188,10129,1742
10188,10132,4185
10188,10137,1233
10188,10139,4794
10188,10143,5907
10188,10146,605
10188,10147,2200
10188,10147,2224
10188,10149,2545
10188,10152,2804
10188,10165,401
10188,10166,668
10188,10168,2812
10188,10177,5396
10188,10179,5396
10188,10179,5502
10188,10180,270
10188,10182,5067
10188,10182,5242
10188,10182,5071
10188,10182,5131
10188,10189,708
10188,10190,548
10188,10192,4446
10188,10200,498
10188,10202,2626
10188,10204,4467
10188,10205,4642
10188,10205,4636
10188,10206,612
10188,10213,740
10188,10218,2261
10188,10220,823
10188,10222,10148
10188,10225,1520
10188,10228,998
10188,10228,997
10188,10229,541
10188,10230,2550
10188,10233,483
10188,10235,365
10188,10236,797
10188,10240,603
10188,10241,523
10188,10243,1117
10191,10041,5579
10191,10079,2879
10191,10184,963
10191,10142,10505
10191,10157,5035
10191,10186,532
10191,10219,3343
10191,10187,1587
10191,10002,3681
10191,10003,3627
10191,10004,1365
10191,10005,3916
10191,10006,4754
10191,10008,3652
10191,10009,2525
10191,10010,3608
10191,10012,2585
10191,10013,3769
10191,10017,1053
10191,10019,3381
10191,10020,3872
10191,10021,830
10191,10022,842
10191,10023,5866
10191,10025,1137
10191,10026,1332
10191,10027,4520
10191,10028,368
10191,10029,3646
10191,10031,3591
10191,10032,2441
10191,10035,4729
10191,10036,2502
10191,10037,3737
10191,10038,1649
10191,10039,1942
10191,10042,1355
10191,10043,1578
10191,10046,2046
10191,10047,1517
10191,10048,1853
10191,10049,1581
10191,10050,2770
10191,10051,2612
10191,10053,4042
10191,10054,1532
10191,10055,2227
10191,10056,3769
10191,10057,200
10191,10059,4872
10191,10060,5364
10191,10061,5082
10191,10064,4868
10191,10067,3975
10191,10069,1502
10191,10070,10726
10191,10073,3160
10191,10076,649
10191,10077,1454
10191,10078,5881
10191,10081,1268
10191,10082,2560
10191,10084,525
10191,10084,526
10191,10086,1593
10191,10087,2882
10191,10088,2689
10191,10089,6020
10191,10090,638
10191,10091,832
10191,10092,443
10191,10096,1817
10191,10097,7867
10191,10099,1583
10191,10101,3845
10191,10102,1070
10191,10103,117
10191,10104,2006
10191,10105,1330
10191,10106,4769
10191,10108,4019
10191,10109,4828
10191,10111,3825
10191,10110,3822
10191,10112,3803
10191,10114,4080
10191,10115,3611
10191,10117,3987
10191,10107,2217
10191,10118,5384
10191,10120,4042
10191,10121,2413
10191,10121,2427
10191,10126,2621
10191,10127,1568
10191,10128,769
10191,10134,1335
10191,10141,304
10191,10145,367
10191,10147,4194
10191,10148,538
10191,10153,3450
10191,10150,3580
10191,10151,929
10191,10154,5209
10191,10155,3333
10191,10156,3564
10191,10159,210
10191,10161,7142
10191,10162,6683
10191,10163,1504
10191,10165,2466
10191,10167,856
10191,10169,1109
10191,10170,3799
10191,10171,4902
10191,10172,4827
10191,10173,3701
10191,10174,3669
10191,10175,601
10191,10177,7736
10191,10178,1379
10191,10179,7353
10191,10179,7735
10191,10179,7735
10191,10182,7062
10191,10188,2207
10191,10190,2527
10191,10192,6433
10191,10193,2202
10191,10194,1894
10191,10199,4251
10191,10202,763
10191,10207,3675
10191,10208,27
10191,10209,4037
10191,10210,1286
10191,10212,1011
10191,10214,624
10191,10218,3052
10191,10221,3630
10191,10223,7078
10191,10224,762
10191,10224,3067
10191,10225,786
10191,10228,3004
10191,10233,2548
10191,10231,3885
10191,10232,3500
10191,10238,3546
10191,10236,2808
10191,10239,3614
10191,10240,1649
10191,10241,2582
10191,10243,2889
10191,10244,1197
10191,10245,4060
10191,10246,1333
