From Port,From_Port_Detls,Type,To Port,To_Port_Detls,Via,Distance
Calcutta, India,Junction Points,Cape of Good Hope,South Africa,East Of Madagascar,5444
Calcutta, India,Junction Points,Cape Leeuwin,Australia,Direct,3796
Calcutta, India,Junction Points,Selat Lombok,Indonesia,Malacca,2608
Calcutta, India,Junction Points,Port Said,Egypt,Direct,4691
Calcutta, India,Junction Points,Singapore,,Direct,1649
Calcutta, India,Junction Points,Selat Sunda,Indonesia,Direct,2140
Calcutta, India,Ports,Aden,Yemen,Direct,3304
Calcutta, India,Ports,Akyab,Burma,Direct,402
Calcutta, India,Ports,Al Basrah,Iraq,Direct,3593
Calcutta, India,Ports,Al Manamah,Bahrain,Direct,3355
Calcutta, India,Ports,Assab,Ethiopia,Direct,3446
Calcutta, India,Ports,Bandar Abbas,Iran,Direct,3058
Calcutta, India,Ports,Bassein,Burma,Direct,643
Calcutta, India,Ports,Belawan,Indonesia,Direct,1326
Calcutta, India,Ports,Bombay,India,Direct,2128
Calcutta, India,Ports,Bushehr,Iran,Direct,3414
Calcutta, India,Ports,Chalna,"Mungla Anchorage,Bangladesh",Direct,288
Calcutta, India,Ports,Chittagong,Bangladesh,Direct,367
Calcutta, India,Ports,Colombo,Sri Lanka,Direct,1258
Calcutta, India,Ports,Dumai,Indonesia,Direct,1579
Calcutta, India,Ports,Fremantle,Australia,Direct,3693
Calcutta, India,Ports,Kakinada,India,Direct,522
Calcutta, India,Ports,Karachi,Pakistan,Direct,2578
Calcutta, India,Ports,Madras,India,Direct,769
Calcutta, India,Ports,Malacca,Malaysia,Direct,1523
Calcutta, India,Ports,Massawa,Ethiopia,Direct,3696
Calcutta, India,Ports,Mocambique,Mozambique,Direct,3831
Calcutta, India,Ports,Mombasa,Kenya,One Half Degree Channel,3703
Calcutta, India,Ports,Moulmein,Burma,Direct,824
Calcutta, India,Ports,Penang,Malaysia,Direct,1294
Calcutta, India,Ports,Phuket,Thailand,Direct,1124
Calcutta, India,Ports,Port Blair,Andaman Islands,Direct,775
Calcutta, India,Ports,Port Louis,Mauritius,Direct,3212
Calcutta, India,Ports,Port Swettenham,Malaysia,Direct,1444
Calcutta, India,Ports,Rangoon,Burma,Direct,787
Calcutta, India,Ports,Sabang,Indonesia,Duncan Passage,1120
Calcutta, India,Ports,Singapore,,Direct,1650
Calcutta, India,Ports,Vishakhapatnam,India,Direct,458
Calcutta, India,Ports,Yenbo,Saudi Arabia,Direct,4148
Calcutta, India,Ports,Zanzibar,Tanzania,One Half Degree Channel,3776
Bombay, India,Junction Points,Cape of Good Hope,South Africa,East Of Madagascar,4554
Bombay, India,Junction Points,Cape Leeuwin,Australia,Direct,4059
Bombay, India,Junction Points,Port Said,Egypt,Direct,3046
Bombay, India,Junction Points,Singapore,,Direct,2441
Bombay, India,Junction Points,Selat Sunda,Indonesia,Direct,2664
Bombay, India,Junction Points,Torres Strait,Australia,South Of Java,4849
Bombay, India,Ports,Abadan,Iran,Direct,1357
Bombay, India,Ports,Ad Damman,Saudi Arabia,Direct,1373
Bombay, India,Ports,Aden,Yemen,Direct,1657
Bombay, India,Ports,Al Basrah,Iraq,Direct,1594
Bombay, India,Ports,Al Jubayl,Saudi Arabia,Direct,2353
