port_number,port_name,port_country,latitude,longitude
10001,Keflavik,Iceland,64.00,-22.33
10002,Straumsvik,Iceland,64.30,-22.30
10003,Hafnarfjordur,Iceland,64.40,-21.57
10004,Skerjafjordur,Iceland,64.90,-22.10
10005,Reykjavik,Iceland,64.90,-21.56
10006,Grundartangi,Iceland,64.16,-22.00
10007,Bildudalur,Iceland,65.41,-23.36
10008,Thingeyri,Iceland,65.53,-23.29
10009,Bolungavik,Iceland,66.10,-23.14
10010,Isafjordur,Iceland,66.40,-23.70
10011,Blonduos,Iceland,65.40,-20.18
10012,Skagastrond,Iceland,65.50,-20.19
10013,Saudarkrokur,Iceland,65.45,-19.40
10014,Siglufjorhurd,Iceland,66.90,-18.55
10015,Olafsfjordhur,Iceland,66.50,-18.38
10016,Dalvik,Iceland,65.59,-18.31
10017,Akureyri,Iceland,65.41,-18.50
10018,Husavik,Iceland,66.20,-17.20
10019,Kopasker,Iceland,66.17,-16.27
10020,Raufarhofn,Iceland,66.27,-15.56
10021,Vopnafjordhur,Iceland,65.45,-14.50
10022,Seydhisfjordhur,Iceland,65.16,-14.00
10023,Neskaupstadur,Iceland,65.90,-13.41
10024,Eskifjordhur,Iceland,65.40,-14.10
10025,Budir,Iceland,64.56,-14.10
10026,Djupivogur,Iceland,64.40,-14.17
10027,Hornabjordur,Iceland,64.15,-15.14
10028,Vestmannaeyjar,Iceland,63.26,-20.17
10029,Qutdleq,Greenland,61.31,-42.13
10030,Kusanartoq,Greenland,61.46,-42.13
10031,Nanortalik Havn,Greenland,60.70,-45.12
10032,Qaqurtoq,Greenland,60.43,-46.30
10033,Narsaq,Greenland,60.55,-46.30
10034,Narsarssuaq,Greenland,61.90,-45.26
10035,Gronnedal (Kangilinnguit),Greenland,61.14,-48.60
10036,Paamuit (Frederikshab),Greenland,62.00,-49.40
10037,Kangerluarsoruseq,Greenland,63.42,-51.33
10038,Nuuk,Greenland,64.11,-51.45
10039,Maniitsoq,Greenland,65.25,-52.55
10040,Kangamiut,Greenland,65.49,-53.18
10041,Sisimiut,Greenland,66.55,-53.42
10042,Kangerlusuaq,Greenland,66.58,-50.57
10043,Attu,Greenland,67.57,-53.44
10044,Aasiaat,Greenland,68.42,-52.52
10045,Qasigiannguit-Christianshab,Greenland,68.49,-51.11
10046,Illulissat (Jakobshavn),Greenland,69.13,-51.60
10047,Qeqertarsuaq,Greenland,69.14,-53.32
10048,Niaqornat,Greenland,70.48,-53.40
10049,Uummannaq Harbor,Greenland,70.41,-52.90
10050,Kajalleq Upernavik,Greenland,72.90,-55.32
10051,Upernavik,Greenland,72.46,-56.90
10052,Pituffik (Thule Air Base),Greenland,76.32,-68.52
10053,Pond Inlet,Canada,72.45,-76.45
10054,Padloping Island,Canada,67.20,-62.44
10055,Pangnirtung,Canada,66.80,-65.45
10056,Churchill,Canada,58.47,-94.11
10057,Goose Bay,Canada,53.22,-60.18
10058,Conche,Canada,50.53,-55.54
