from,from_name,to,to_name,distance
10032,Bombay,10001,Abadan,1357
10032,Bombay,10002,Ad Damman,1373
10032,Bombay,10003,Aden,1657
10032,Bombay,10004,Akyab,2530
10032,Bombay,10005,Al Basrah,1594
10032,Bombay,10006,Al Gurdagah,7195
10032,Bombay,10007,Al Jubayl,2353
10032,Bombay,10008,Al Manamah,5483
10032,Bombay,10009,Albany,4966
10032,Bombay,10010,Aleksandrovsk-Sakhalinskiy,6049
10032,Bombay,10011,Apia,9363
10032,Bombay,10012,Apra,5026
10032,Bombay,10013,Assab,5574
10032,Bombay,10014,Auckland,9796
10032,Bombay,10015,Avarua,10181
10032,Bombay,10017,Balikpapan,3494
10032,Bombay,10019,Bandar Abbas,5186
10032,Bombay,10020,Bandar Khomeini,6313
10032,Bombay,10021,Bandjermasin,3271
10032,Bombay,10022,Bangkok,3283
10032,Bombay,10023,Barbers Point,8307
10032,Bombay,10025,Bassein,2771
10032,Bombay,10026,Beihai,3773
10032,Bombay,10027,Beira,6961
10032,Bombay,10028,Belawan,2109
10032,Bombay,10029,Berbera,6087
10032,Bombay,10030,Bhavnager,204
10032,Bombay,10031,Bikini,6032
10032,Bombay,10034,Brisbane,8891
10032,Bombay,10035,Bur Safaga,7170
10032,Bombay,10036,Busan,4943
10032,Bombay,10037,Bushehr,5542
10032,Bombay,10038,Calcutta,2128
10032,Bombay,10039,Calicut,4383
10032,Bombay,10040,Cape Leeuwin,4059
10032,Bombay,10041,Cape of Good Hope,4554
10032,Bombay,10042,Cebu,3796
10032,Bombay,10043,Chalna,2416
10032,Bombay,10045,Chi-lung,5095
10032,Bombay,10046,Chimu Wan,4487
10032,Bombay,10047,Chittagong,2495
10032,Bombay,10048,Cochin,392
10032,Bombay,10049,Colombo,895
10032,Bombay,10050,Dagu,5211
10032,Bombay,10051,Dalian,5053
10032,Bombay,10052,Dampier,3624
10032,Bombay,10053,Dar es Salaam,2500
10032,Bombay,10054,Davao,3973
10032,Bombay,10055,Diego Garcia,1603
10032,Bombay,10056,Djibouti,6210
10032,Bombay,10057,Dumai,2641
10032,Bombay,10059,Durban,3826
10032,Bombay,10060,Dutch Harbor,7805
10032,Bombay,10061,East London,7523
10032,Bombay,10064,Eilat,7309
10032,Bombay,10065,Fateh Terminal,1146
10032,Bombay,10067,Fort Dauphin,6416
10032,Bombay,10068,Fremantle,3984
10032,Bombay,10069,Galle,944
10032,Bombay,10070,Guayaquil,13167
10032,Bombay,10071,Gunsan,5105
10032,Bombay,10072,Haiphong,5933
10032,Bombay,10073,Hakodate,5601
10032,Bombay,10074,Hankou,5240
10032,Bombay,10075,Higashi-Iwase,5614
10032,Bombay,10076,Ho Chi Minh,3090
10032,Bombay,10077,Hong Kong,3895
10032,Bombay,10078,Honolulu,8322
10032,Bombay,10079,Honshu,5320
10032,Bombay,10080,Hua-lien Kang,5181
10032,Bombay,10081,Iloilo,3709
10032,Bombay,10082,Incheon,5001
10032,Bombay,10084,Jakarta,2966
10032,Bombay,10085,Jaluit,7786
10032,Bombay,10086,Kakinada,2650
10032,Bombay,10087,Karachi,504
10032,Bombay,10088,Kobe,5130
10032,Bombay,10089,Kodiak,8461
10032,Bombay,10090,Kompong Som,3079
10032,Bombay,10091,Kota Kinabalu,3273
10032,Bombay,10092,Kuching,2884
10032,Bombay,10094,Levuka,9176
10032,Bombay,10095,Lianyungang,5062
10032,Bombay,10096,Lo hsing-ta Mao-ti,4258
10032,Bombay,10097,Los Angeles,10308
10032,Bombay,10099,Madras,1482
10032,Bombay,10100,Maizuru,5448
10032,Bombay,10101,Majunga,6286
10032,Bombay,10102,Makassar,3511
10032,Bombay,10103,Malacca,2327
10032,Bombay,10104,Malakal,4447
10032,Bombay,10105,Manila,3771
10032,Bombay,10106,Maputo,7210
10032,Bombay,10107,Marmagao,235
10032,Bombay,10108,Massawa,2050
10032,Bombay,10109,Midway Island,7269
10032,Bombay,10110,Mina Abd Allah,1514
10032,Bombay,10111,Mina al Ahmadi,1517
10032,Bombay,10112,Mina Az Zawr,1495
10032,Bombay,10113,Misumi,5138
10032,Bombay,10114,Mocambique,5959
10032,Bombay,10115,Mogadishu,6052
10032,Bombay,10116,Mogpo,5017
10032,Bombay,10117,Mombasa,2400
10032,Bombay,10118,Mosselbaai,7825
10032,Bombay,10119,Moulmein,2952
10032,Bombay,10120,Mtwara,6483
10032,Bombay,10121,Nagasaki,4854
10032,Bombay,10122,Naha,5127
10032,Bombay,10124,Nakagusuku,5163
10032,Bombay,10125,Nakhodka,5639
10032,Bombay,10126,Nampo,5062
10032,Bombay,10127,Negappattinam,4009
10032,Bombay,10128,Nha Trang Bay,3210
10032,Bombay,10129,Nikolayevsk-Na-Amure,6390
10032,Bombay,10132,Noumea,8833
10032,Bombay,10133,Okha,341
10032,Bombay,10134,Olongapo,3776
10032,Bombay,10137,Otaru,5881
10032,Bombay,10139,Pago Pago,9442
10032,Bombay,10141,Palembang,2745
10032,Bombay,10142,Panama,12946
10032,Bombay,10143,Papeete,10555
10032,Bombay,10145,Penang,2154
10032,Bombay,10146,Peng-hu Kang,5253
10032,Bombay,10147,Petropavlovsk-Kamchatskiy,6635
10032,Bombay,10148,Phuket,2979
10032,Bombay,10149,Ponape,7193
10032,Bombay,10150,Port Augusta,6021
10032,Bombay,10151,Port Blair,2903
10032,Bombay,10152,Port Darwin,4193
10032,Bombay,10153,Port des Galets,5891
10032,Bombay,10154,Port Elizabeth,7650
10032,Bombay,10155,Port Louis,2517
10032,Bombay,10156,Port Pirie,6005
10032,Bombay,10157,Port Said,3046
10032,Bombay,10158,Port Sudan,2310
10032,Bombay,10159,Port Swettenham,2651
10032,Bombay,10160,Port Victoria,1752
10032,Bombay,10161,Portland,9583
10032,Bombay,10162,Prince Rupert,9124
10032,Bombay,10163,Pulupandan,3945
10032,Bombay,10164,Punta Arenas,14475
10032,Bombay,10165,Qingdao,4907
10032,Bombay,10166,Qinhuangdao,5316
10032,Bombay,10167,Qui Nhon,3297
10032,Bombay,10168,Rabaul,7460
10032,Bombay,10169,Rangoon,2139
10032,Bombay,10170,Ras al Khafji,1491
10032,Bombay,10171,Ras as Sidr,7343
10032,Bombay,10172,Ras Gharib,7268
10032,Bombay,10173,Ras Tannurah,6142
10032,Bombay,10174,Rongelap,6110
10032,Bombay,10175,Sabang,1843
10032,Bombay,10177,San Diego,10044
10032,Bombay,10178,San Fernando,3820
10032,Bombay,10179,San Francisco,9794
10032,Bombay,10180,Sanmen Wen,4918
10032,Bombay,10182,Seattle,9503
10032,Bombay,10184,Selat Lombok,3404
10032,Bombay,10186,Selat Sunda,2664
10032,Bombay,10187,Selat Wetar,4028
10032,Bombay,10188,Shanghai,4648
10032,Bombay,10189,Shantou,5356
10032,Bombay,10190,Shimonoseki,4968
10032,Bombay,10191,Singapore,2441
10032,Bombay,10192,Sitka,8874
10032,Bombay,10193,Sorido,4643
10032,Bombay,10194,Sorong,4335
10032,Bombay,10199,Suakin,6692
10032,Bombay,10200,Su-ao Kang,5146
10032,Bombay,10202,Surabaya,3204
10032,Bombay,10204,Suva,9115
10032,Bombay,10205,Sydney,9290
10032,Bombay,10206,Tai-tung Kang,5260
10032,Bombay,10207,Tamatave,2621
10032,Bombay,10208,Tandjung Uban,2468
10032,Bombay,10209,Tanga,6478
10032,Bombay,10210,Tarakan,3727
10032,Bombay,10212,Telukbayur,3452
10032,Bombay,10213,Tianjin,5388
10032,Bombay,10214,Tjirebon,3065
10032,Bombay,10216,Torres Strait,4849
10032,Bombay,10217,Trincomalee,1218
10032,Bombay,10218,Truk,5493
10032,Bombay,10219,Tsugaru-Kaikyo,5784
10032,Bombay,10220,Tsuruga,5471
10032,Bombay,10221,Umm Said,6071
10032,Bombay,10222,Valparaiso,14796
10032,Bombay,10223,Vancouver,9519
10032,Bombay,10224,Victoria,3203
10032,Bombay,10225,Vinh Cam Ranh,3227
10032,Bombay,10226,Vishakhapatnam,2586
10032,Bombay,10228,Vladivostok,5445
10032,Bombay,10229,Wakamatsu,5189
10032,Bombay,10230,Wake Island,7198
10032,Bombay,10231,Wake Island ,6326
