Port Number,Port Name,Country,Latitude,Longitude,DD Lat,DD Long
10001,Keflavik,IS,64.0N,22.33 W,64,-22.33
10002,Straumsvik,IS,64.3N,22.3W,64.3,-22.3
10003,Hafnarfjordur,IS,64.4N,21.57 W,64.4,-21.57
10004,Skerjafjordur,IS,64.9N,22.1W,64.9,-22.1
10005,Reykjavik,IS,64.9N,21.56 W,64.9,-21.56
10006,Grundartangi,IS,64.16 N,22.0W,64.16,-22
10007,Bildudalur,IS,65.41 N,23.36 W,65.41,-23.36
10008,Thingeyri,IS,65.53 N,23.29 W,65.53,-23.29
10009,Bolungavik,IS,66.10 N,23.14 W,66.1,-23.14
10010,Isafjordur,IS,66.4N,23.7W,66.4,-23.7
10011,Blonduos,IS,65.40 N,20.18 W,65.4,-20.18
10012,Skagastrond,IS,65.50 N,20.19 W,65.5,-20.19
10013,Saudarkrokur,IS,65.45 N,19.40 W,65.45,-19.4
10014,Siglufjorhurd,IS,66.9N,18.55 W,66.9,-18.55
10015,Olafsfjordhur,IS,66.5N,18.38 W,66.5,-18.38
10016,Dalvik,IS,65.59 N,18.31 W,65.59,-18.31
10017,Akureyri,IS,65.41 N,18.5W,65.41,-18.5
10018,Husavik,IS,66.2N,17.20 W,66.2,-17.2
10019,Kopasker,IS,66.17 N,16.27 W,66.17,-16.27
10020,Raufarhofn,IS,66.27 N,15.56 W,66.27,-15.56
10021,Vopnafjordhur,IS,65.45 N,14.50 W,65.45,-14.5
10022,Seydhisfjordhur,IS,65.16 N,14.0W,65.16,-14
10023,Neskaupstadur,IS,65.9N,13.41 W,65.9,-13.41
10024,Eskifjordhur,IS,65.4N,14.1W,65.4,-14.1
10025,Budir,IS,64.56 N,14.1W,64.56,-14.1
10026,Djupivogur,IS,64.40 N,14.17 W,64.4,-14.17
10027,Hornabjordur,IS,64.15 N,15.14 W,64.15,-15.14
10028,Vestmannaeyjar,IS,63.26 N,20.17 W,63.26,-20.17
10029,Qutdleq,GL,61.31 N,42.13 W,61.31,-42.13
10030,Kusanartoq,GL,61.46 N,42.13 W,61.46,-42.13
10031,Nanortalik Havn,GL,60.7N,45.12 W,60.7,-45.12
10032,Qaqurtoq,GL,60.43 N,46.3W,60.43,-46.3
10033,Narsaq,GL,60.55 N,46.3W,60.55,-46.3
10034,Narsarssuaq,GL,61.9N,45.26 W,61.9,-45.26
10035,Gronnedal (Kangilinnguit),GL,61.14 N,48.6W,61.14,-48.6
10036,Paamuit (Frederikshab),GL,62.0N,49.40 W,62,-49.4
10037,Kangerluarsoruseq,GL,63.42 N,51.33 W,63.42,-51.33
10038,Nuuk,GL,64.11 N,51.45 W,64.11,-51.45
10039,Maniitsoq,GL,65.25 N,52.55 W,65.25,-52.55
10040,Kangamiut,GL,65.49 N,53.18 W,65.49,-53.18
10041,Sisimiut,GL,66.55 N,53.42 W,66.55,-53.42
10042,Kangerlusuaq,GL,66.58 N,50.57 W,66.58,-50.57
